good,good_id
Борщ из кваш.кап/постный 250гр,good_0
Тефтели в томатном соусе 100/40гр,good_1
Сердечки куриные/томат/кинза 75/50гр,good_2
Цыпленок/овощи/с.терияки 100/40гр,good_3
Лапша Удон/овощи 150гр,good_4
Говядина с ананас/перец 75/75гр,good_5
С-т микс/кр.чечев/лук/томаты/зап 120 гр,good_6
Свекла/зелень/масло 120гр,good_7
Кур.окорочка жар/с.майонез 125гр,good_8
Сациви из курицы 120гр,good_9
Морковь по-тайски 120гр,good_10
Кета с дольками апельсина/лайма 80/20гр,good_11
Тосты с грибной икрой 120гр,good_12
Напиток из ягод с/м/без сахара 200гр,good_13
Гуляш из говядины 75/50гр,good_14
С-т из огур/перец/масло 120гр,good_15
Фасоль стручк/овощи 150гр,good_16
Напиток яблочно-клюквенный 200гр,good_17
Суп перловый/грибы 250гр,good_18
С-т Панагюрский 120гр,good_19
Индейка филе копченая 100гр,good_20
Компот из сухофруктов 200гр,good_21
Гречневая лапша/цуккини/дайкон/пер 200гр,good_22
Картофель с розмарином 150гр,good_23
Рассольник Васнецовский/грибы/пост 250гр,good_24
Кабачки гриль/с.йогуртовый 150/20гр,good_25
Капуста цветная/с.сливочный/сыр 200гр,good_26
Котлеты по-киевски 150гр,good_27
Морковь/груша 120гр,good_28
Жаркое из индейки/булгур 200гр,good_29
Окрошка с колбасой/квас 250гр,good_30
Кабачки гриль 150гр,good_31
Рыба жар/с.медово-горчичный 90/20гр,good_32
Овощи печеные 200гр,good_33
Булочка с сыром 60гр,good_34
Кур.филе отварное/овощи 100гр,good_35
Лимонад клубнично-имбирный 200гр,good_36
Пирожок с капустой/яйцо,good_37
Перец болгарский/овощи 200гр,good_38
С-т из тунца/з.пряная 120гр,good_39
Медальоны куриные Карри 100гр,good_40
Суп-пюре из овощей с/м/пост 250гр,good_41
Кур.филе/тыквенный конфитюр 140/20гр,good_42
Морковь/с.земляничный 120гр,good_43
С-т Посейдон/майонез 120гр,good_44
Картофель с кр.паприкой 150гр,good_45
Макароны с базиликом 150гр,good_46
С-т айсберг/огурец/масло 120гр,good_47
Напиток Яблоневый сад 200гр,good_48
Макароны 150гр,good_49
Винегрет с сельдью 120гр,good_50
Сельдь с печеной свеклой 120гр,good_51
Рис отварной 150гр,good_52
Люля-кебаб 100/20гр,good_53
Лазанья из птицы 200гр,good_54
Баклажаны с овощами/чеснок 150гр,good_55
Капуста с кумином 150гр,good_56
Сотэ из баклажан 200гр,good_57
Котлеты Пожарские 100гр,good_58
Ланч бокс маленький 1шт,good_59
Рагу летнее/овощи 200гр,good_60
Капуста с овощами 150гр,good_61
Щи Боярские/мясо 250гр,good_62
Напиток Каркаде 200гр,good_63
Кур.филе с болг.перцем 80/20гр,good_64
С-т Столичный/кур/майонез 120гр,good_65
Плов с овощами 200гр,good_66
С-т из огур/помидор/морк/масло 120гр,good_67
Солянка овощная 250гр,good_68
Свинина/помидор/перец 75/75гр,good_69
Картофель по-шведски/сыр 150 гр,good_70
Рыба по-ленинградски 80/20гр,good_71
С-т из кальмар/айсберг/с.цезарь 120гр,good_72
Рыба жар/баклажан 80/40гр,good_73
Говядина с рисовой лапшой 200гр,good_74
Суп вермишелевый/кур 250гр,good_75
С-т из жар.груши/айсберг/фета 120гр,good_76
Суп-пюре из курицы 250гр,good_77
Рис с шафраном 150гр,good_78
С-т Оливье/креветки/заправка 120гр,good_79
Суп Ароматный/тыква 250гр,good_80
Сельдь с картофелем 120гр,good_81
Напиток цитрусовый/без сахара 200гр,good_82
Рулет из индейки/шпинат/с.сливоч100/20гр,good_83
Жаркое из овощей 200гр,good_84
Рис с овощами 150гр,good_85
Борщ Сибирский/мясо 250гр,good_86
Харчо из баранины 250гр,good_87
Холодец из индейки 120гр,good_88
С-т Витаминный/масло 120гр,good_89
С-т Морской коктейль/овощи 120гр,good_90
С-т из помидор/ог/маслин/брынзы/ма 120гр,good_91
Котлета мясная/с.луковый 100/40 гр,good_92
С-т из помидор/зелень/льненое масло100гр,good_93
С-т Слоеный/краб.пал 120гр,good_94
Картофель/ассорти из грибов 150гр,good_95
Пирожок с рисом/яйцо,good_96
Витки ветчиные 120гр,good_97
Фасоль Лима/с.сальса 150 гр,good_98
С-т из щавеля/карт.черри/огур/яйцо 120гр,good_99
Лаваш с мясом/с.сальса 200гр,good_100
Помидоры по-грузински/рыба 120гр,good_101
Гречка с жар.луком 150гр,good_102
Колбаски Мюнхенские/с.медово-горч 110/20,good_103
Щи зеленые/постные 250гр,good_104
Суп-пюре из брокколи/пост 250гр,good_105
Поджарка из свинины 75/25гр,good_106
Помидоры запеч/укроп 200гр,good_107
Рыба жар/лук порей 80/40гр,good_108
Биточки мясные паровые 100гр,good_109
С-т Панцанелла/овощной 120гр,good_110
Свинина/с.тар-тар 80/20гр,good_111
Суп-пюре сырный 250гр,good_112
Компот из св.груш/без сахара 200гр,good_113
Рыба жар/под маринадом 80/40гр,good_114
С-т романо/базилик/мандарин/заправ 120гр,good_115
Кур.филе/с.кисло-сладкий 75/75гр,good_116
Суп из индейки/кр.чечевица 250гр,good_117
Детокс вода/огур/лимон/баз 200гр,good_118
Шарики из ризотто/грибы/фета 120 гр,good_119
Борщ из кваш.кап/мясо 250гр,good_120
Картофель с укропом 150гр,good_121
Картофель с карри 150гр,good_122
Пирожок с картоф/бекон,good_123
Рассольник по-старорусски/овощи 250гр,good_124
Бифштекс рубл.с яйцом 100/40гр,good_125
Террин из овощей/микс грибов 120гр,good_126
Харчо из говядины 250гр,good_127
С-т из белой фасоли/перец/масло 120гр,good_128
Биточки куриные паровые 100гр,good_129
Солянка мясная/копчености/окорок 250гр,good_130
Кур.окорочка отварные 125гр,good_131
Суп гречневый/грибы 250гр,good_132
Кабачки жар/овощи 150гр,good_133
Пирожок Сосиска в тесте,good_134
Тар-тар из кальмаров 120гр,good_135
КусКус с овощами 150гр,good_136
Плов из баранины 200гр,good_137
С-т Пушкин с опятами 120гр,good_138
Эскалоп из свинины/лук фри 80/20гр,good_139
Язык отварной 75гр,good_140
С-т Оливье по-Старорусски/майонез 120гр,good_141
Суп овощной/Павлодарский 250гр,good_142
С-т Киноа/морковь/перец 120гр,good_143
Кукурузное рагу 150гр,good_144
Свекла/сельдь/с.крем-чиз 120гр,good_145
Печень запеч/сметана 100/20,good_146
Рулет из курицы/сыр 120гр,good_147
Свекла/с.зеленый 120 гр,good_148
С-т из б/к/укроп 120гр,good_149
Фрикадельки по-итальянски 100/40гр,good_150
С-т Карри/кур/майонез 120гр,good_151
С-т из к/к с огурцами 120гр,good_152
Котлета мясная/с.сливочн/кинза 100/20гр,good_153
Суп Деревенский/пшено 250гр,good_154
Перец болгарский гриль/с.йогурт 150/20гр,good_155
Свинина/с.кисло-сладкий 75/75гр,good_156
Кур.филе в горчице/тимьян 80/20гр,good_157
Говядина туш/квас 80/20гр,good_158
Жаркое по-домашнему/свинина 200гр,good_159
С-т из огур/помидор/айсберк/з.дом 120гр,good_160
Пирожок Слойка/курица,good_161
Кабачки туш/грибы 200гр,good_162
Рыба заливная с яйцом 120гр,good_163
Свекла/чернослив/майонез 120гр,good_164
Рыба жар/яйцо/кунжут/с.терияки 120/20/10,good_165
Террин из свеклы 120гр,good_166
Аджан андали/пост 200гр,good_167
Свинина/помидор/сыр 80/20гр,good_168
Говядина по-шанхайски 75/50гр,good_169
